Identifiant,Annee,NUM_SAGO,Entreprise,Etablissement,SCIAN,Adresse,Region,Mun,Longitude,Latitude,Emissions_totales,Emissions_bio_combustion,Emissions_bio_autres,Emissions_totales_sans_bio,Note
1056,2013,90301854,Industries Norbord inc.,Industries Norbord inc. - Division La Sarre,321217 : Usines de panneaux de copeaux,"210, 9e avenue Est La Sarre (Québec), J9Z 2X5",Abitibi-Témiscamingue,La Sarre,-79.19112222,48.80003056,166494,161802,0,4692,
1057,2013,X2108923,1797729 Ontario inc.,Mine Canadian Malartic,212220 : Extraction de minerais d'or & d'argent,"100, chemin du Lac Mourier C.P. 2040 Malartic (Québec), J0Y 1Z0",Abitibi-Témiscamingue,Malartic,-78.10538682,48.1157836,135689,0,0,135689,
1058,2013,90251398,Nexans Canada inc.,Nexans Canada inc.,"331420 : Laminage, étirage, extrusion & alliage du Cu","460, avenue Durocher Montréal-Est (Québec), H1B 5H6",Montréal,Montréal-Est,-73.5134278,45.62829153,16854,0,0,16854,
1061,2013,51932309,Ifastgroupe 2004 L.P.,Ifastgroupe 2004 L.P. - Infasco,"332720 : Fab. de produits tournés, vis, écrous & boulons","700, rue Ouellette Marieville (Québec), J3M 1P6",Montérégie,Marieville,-73.16710833,45.42992222,18595,0,0,18595,
1067,2013,55261028,La Cie Matériaux de Construction BP Canada,La Cie de matériaux de construction BP Canada,321216 : Usines de panneaux de particules & de fibres,"420, rue Dupont Pont-Rouge (Québec), G3H 1S2",Capitale-Nationale,Pont-Rouge,-71.71260278,46.74849444,20539,0,0,20539,
1069,2013,53983623,"Kronos Canada, inc.","Kronos Canada, inc.",325130 : Fab. de teintures & de pigments synthétiques,"3390, Route Marie-Victorin Varennes (Québec), J3X 1P7",Montérégie,Varennes,-73.42733256,45.71282795,112233,0,0,112233,
1073,2013,21964465,Régie de gestion des matières résiduelles de la Mauricie,"RGMRM, lieu d'enfouissement technique de Champlain",562210 : Traitement & élimination des déchets,"295, route Sainte-Marie Champlain (Québec), G0X 1C0",Mauricie,Champlain,-72.31438146,46.47479235,68532,47,8157,60328,
1075,2013,55342869,Saputo Produits Laitiers Canada S.E.N.C.,Saputo produits laitiers Canada inc. (Saint-Hyacinthe),"311515 : Fab. beurre, fromage, prod. laitier sec & conc.","1195, rue Daniel-Johnson Est Saint-Hyacinthe (Québec), J2S 7Y6",Montérégie,Saint-Hyacinthe,-72.958151,45.64633,9743,0,0,9743,
1076,2013,90193491,"Énergir, chaleur et climatisation urbaines, S.E.C.","Énergir, chaleur et climatisation",221330 : Production de vapeur & conditionnement de l'air,"120, boulevard Robert-Bourassa Montréal (Québec), H3C 2L4",Montréal,Montréal,-73.55620833,45.49563056,45547,0,0,45547,
1081,2013,52214574,Teledyne Dalsa semiconducteur inc.,Teledyne digital imaging,334410 : Fab. semi-conducteurs & autres comp. électron.,"18, boulevard de l'Aéroport Bromont (Québec), J2L 1S7",Estrie,Bromont,-72.71416667,45.3,16851,0,0,16851,
1082,2013,X1300114,Alcoa Canada Cie,Compagnie Howmet Canada,"331523 : Fonderies, métaux non ferr. moulage sous press.","4001, Autoroute des Laurentides Laval (Québec), H7L 3H7",Laval,Laval,-73.76633616,45.58186244,1224,0,0,1224,
1083,2013,53752275,Ville de Montréal,Ouvrage municipal d'assainissement des eaux usées de Montréal (station Jean-R.-Marcotte),221320 : Installations d'épuration des eaux usées,"12001, boulevard Maurice-Duplessis Montréal (Québec), H1C 1V3",Montréal,Montréal,-73.52283056,45.67088611,202550,118020,0,84530,
1084,2013,55233241,Diageo Canada inc.,"Diageo Canada inc. /approvisionnement mondial, Valleyfield",312140 : Distilleries,"1, rue Salaberry Salaberry-de-Valleyfield (Québec), J6T 2G9",Montérégie,Salaberry-de-Valleyfield,-74.12041389,45.25590833,39973,0,13887,26086,
1085,2013,29101334,Produits forestiers Arbec inc.,Produits forestiers Arbec inc.(Shawinigan),321217 : Usines de panneaux de copeaux,"775, chemin de Turcotte Shawinigan (Québec), G9T 5K7",Mauricie,Shawinigan,-72.64025131,46.6282322,59024,56847,0,2177,
1086,2013,52645553,PF Résolu Canada inc.,PF Résolu (Scierie de La Doré),321111 : Scieries sauf usines de bard. & bard. de fente,"5850, avenue des Jardins La Doré (Québec), G8J 1B4",Saguenay--Lac-Saint-Jean,La Doré,-72.61947222,48.72225,27305,23951,0,3354,
1089,2013,53053278,Rio Tinto Alcan inc.,Rio Tinto Alcan (usine Arvida CEO),331313 : Production primaire d'alumine & d'aluminium,"1955, boul. Mellon, C.P. 1500 Jonquière (Québec), G7S 4L2",Saguenay--Lac-Saint-Jean,Saguenay,-71.17150988,48.42988705,743226,0,0,743226,
1095,2013,X2049746,Ville de Longueuil,Ouvrage municipal d'assainissement des eaux usées de Longueuil,221320 : Installations d'épuration des eaux usées,,Montérégie,Longueuil,-73.48650556,45.58404444,20697,17462,0,3235,
1098,2013,53587036,Uniboard Canada inc.,Uniboard Canada inc.,321216 : Usines de panneaux de particules & de fibres,"845, rue Jean-Baptiste-Reid Mont-Laurier (Québec), J9L 3W3",Laurentides,Mont-Laurier,-75.48160848,46.55710177,79449,76892,0,2557,
1099,2013,90414822,Louisiana-Pacific Canada ltd.,Usine et sablière (Louisiana-Pacific Canada Ltd),321217 : Usines de panneaux de copeaux,"1012, chemin du Parc-Industriel Bois-Franc (Québec), J9E 3A9",Outaouais,Bois-Franc,-75.91563333,46.50236111,103534,98085,0,5449,
1100,2013,18883116,Pratt & Whitney Canada cie.,"Pratt & Whitney Canada inc. (1000, M-V)",336410 : Fab. de produits aérospatiaux & de leurs pièces,"1000, boulevard Marie-Victorin Longueuil (Québec), J4G 1A1",Montérégie,Longueuil,-73.49345468,45.55244666,16883,0,0,16883,
1101,2013,90271198,La Cie Matériaux de Construction BP Canada,BP Canada - Usine de LaSalle,324122 : Fab. bardeaux & matériaux de revêt. en asphalte,"9510, rue Saint-Patrick Montréal (Québec), H8R 1R9",Montréal,Montréal,-73.64725161,45.43697971,15687,0,0,15687,
1105,2013,X1202356,Ville de Lévis,Incinérateur de ville de Lévis,562210 : Traitement & élimination des déchets,"3451, rue Vulcain Lévis (Québec), G6W 0K8",Chaudière-Appalaches,Lévis,-71.17734137,46.74986945,20581,10622,0,9959,
1106,2013,90483462,Innovations PAL-LAP inc.,Recochem (Henri-Bourassa),325999 : Fab. de tous les autres prod. chimiques divers,"9355, boulevard Henri-Bourassa Est Montréal (Québec), H1E 1P4",Montréal,Montréal,-73.55814954,45.6415499,174,0,0,174,
1107,2013,90366345,Uniboard Canada inc.,"Uniboard Canada inc., division Sayabec",321216 : Usines de panneaux de particules & de fibres,"152, route Pouliot Sayabec (Québec), G0J 3K0",Bas-Saint-Laurent,Sayabec,-67.6554,48.5556,118613,113371,0,5242,
1108,2013,54533609,Bradken Canada Manufactured Products Ltd.,Bradken Traitement des minerais C.B. - Usine no 1,331511 : Fonderies de fer,"105, avenue de la Fonderie Mont-Joli (Québec), G5H 1W2",Bas-Saint-Laurent,Mont-Joli,-68.1849,48.58813,8002,0,0,8002,
1110,2013,X0400149,Régie de gestion des matières résiduelles de la Mauricie,Régie de gestion des matières résiduelles de la Mauricie - LET Saint-Étienne-des-Grès,562210 : Traitement & élimination des déchets,"430, boulevard de La Gabelle Saint-Étienne-des-Grès (Québec), G0X 2P0",Mauricie,Saint-Étienne-des-Grès,-72.74286389,46.43346111,105819,11382,24028,70409,
1111,2013,X2097474,Twin Rivers Technologies Entreprises de transformation de graines oléagineuses du Québec inc.,"Viterra Canada inc., Bécancour",311224 : Transformation des graines oléagineuses,"555, boulevard Alphonse-Deshaies Bécancour (Québec), G9H 2Y8",Centre-du-Québec,Bécancour,-72.37727,46.38672,28137,0,0,28137,
1114,2013,X2103303,The Bloom Lake Iron Ore Mine Limited Partnership,Mine de fer du lac Bloom,212210 : Extraction de minerais de fer,"755, Route 389 Fermont (Québec), G0G 1J0",Côte-Nord,Fermont,-67.24153843,52.84653829,77278,0,0,77278,
1115,2013,90356635,Régie intermunicipale de gestion des déchets des Chutes-de-la-Chaudière,LET de Saint-Lambert-de-Lauzon,562210 : Traitement & élimination des déchets,,Chaudière-Appalaches,Saint-Lambert-de-Lauzon,-71.2846126,46.59889782,28101,3989,10090,14022,
1120,2013,52091972,"Certainteed gypsum Canada, inc.",Certainteed Canada inc.,327420 : Fab. de produits en gypse,"700, 1e Avenue Sainte-Catherine (Québec), J5C 1C5",Montérégie,Sainte-Catherine,-73.58888889,45.40430556,27231,0,0,27231,
1124,2013,52176989,Rio Tinto Alcan inc.,Rio Tinto Alcan inc. (Usine Grande-Baie),331313 : Production primaire d'alumine & d'aluminium,"5000, route du Petit-Parc La Baie (Québec), G7B 4G9",Saguenay--Lac-Saint-Jean,Saguenay,-70.92576326,48.30551388,553189,0,0,553189,
1126,2013,25754581,E.I. Dupont Canada-Thetford inc.,E.I. Dupont Canada-Thetford inc.,327990 : Fab. de tous les autres prod. miné. non métall.,"1045, rue Monfette Est Thetford Mines (Québec), G6G 7K7",Chaudière-Appalaches,Thetford Mines,-71.29550644,46.11032428,331,0,0,331,
1127,2013,90156969,Mines Agnico Eagle limitée,Mine Laronde,212220 : Extraction de minerais d'or & d'argent,"10200, Route de Preissac Rouyn-Noranda (Québec), J0Y 1C0",Abitibi-Témiscamingue,Preissac,-78.45560833,48.24957222,28834,0,0,28834,
1130,2013,51274785,Barrette-Chapais ltée,Scierie Chapais,321111 : Scieries sauf usines de bard. & bard. de fente,,Nord-du-Québec,Eeyou Istchee Baie-James,-74.71570734,49.78853877,35731,31185,0,4546,
1132,2013,X0000005,Rayonier A.M. Canada Société en nom collectif,Complexe Témiscaming,322112 : Usines de pâte chimique,"33, chemin Kipawa Témiscaming (Québec), J0Z 3R0",Abitibi-Témiscamingue,Témiscaming,-79.09591667,46.71107778,629278,525887,10920,92471,
1133,2013,13437835,Rayonier A.M. Canada Société en nom collectif,Entreprises Sappi Canada inc. - Usine Matane,322111 : Usines de pâte mécanique,"400, rue du Port Matane (Québec), G4W 3M6",Bas-Saint-Laurent,Matane,-67.557213,48.832861,19869,3401,0,16468,
1134,2013,52344595,Matériaux Blanchet inc.,Matériaux Blanchet inc.,321111 : Scieries sauf usines de bard. & bard. de fente,"2771, route de l'Aéroport C.P. 430 Amos (Québec), J9T 3A8",Abitibi-Témiscamingue,Amos,-78.16896944,48.56403056,35556,34860,0,696,
1140,2013,90550583,Sacopan inc.,Sacopan inc.,321216 : Usines de panneaux de particules & de fibres,"652, chemin du Moulin Sacré-Coeur (Québec), G0T 1Y0",Côte-Nord,Sacré-Coeur,-69.88553861,48.27895824,35533,34296,0,1237,
1149,2013,X0000456,Excelitas Canada inc.,Excelitas Canada Inc,334410 : Fab. semi-conducteurs & autres comp. électron.,"22001, chemin Dumberry Vaudreuil-Dorion (Québec), J7V 8P7",Montérégie,Vaudreuil-Dorion,-74.02822224,45.4160114,17056,0,0,17056,
1150,2013,90283086,PF Résolu Canada inc.,PF Resolu Canada inc. - Scierie de Mistassini,321111 : Scieries sauf usines de bard. & bard. de fente,"200, rue De Quen Dolbeau-Mistassini (Québec), G8L 5M8",Saguenay--Lac-Saint-Jean,Dolbeau-Mistassini,-72.20495776,48.87907518,34664,32480,0,2184,
1151,2013,12187886,Les Produits Forestiers D&G Ltée,Les Produits Forestiers D.G. ltée - Division Saint-Côme,321111 : Scieries sauf usines de bard. & bard. de fente,"2518, route du Président-Kennedy Saint-Côme--Linière (Québec), G0M 1J0",Chaudière-Appalaches,Saint-Côme--Linière,-70.4843892,46.01171289,15652,15345,0,307,
1153,2013,90475187,Olymel S.E.C.,Olymel s.e.c. (Ste-Rosalie),311615 : Transformation de la volaille,"3250, boulevard Laurier Est Saint-Hyacinthe (Québec), J2R 2B6",Montérégie,Saint-Hyacinthe,-72.91366667,45.63771667,19080,0,0,19080,
1154,2013,55125041,Arclin Canada ltée,Arclin Canada Ltée.,325210 : Fab. de résines & de caoutchouc synthétique,"100, rue Blanchard Sainte-Thérèse (Québec), J7E 4R9",Laurentides,Sainte-Thérèse,-73.84388889,45.63416667,6683,0,0,6683,
1161,2013,90497538,Services Matrec inc.,Lieu d'enfouissement technique (Services Matrec inc. - Division Centre technologiques AES),562210 : Traitement & élimination des déchets,"3333, boulevard Talbot Saguenay (Québec), G7H 5B1",Saguenay--Lac-Saint-Jean,Saguenay,-71.09199,48.36439,82810,1074,8861,72875,
1162,2013,90269820,Ville de Gatineau,Site d'enfouissement sanitaire Cook,562210 : Traitement & élimination des déchets,"1050, 1050 Chemin Cook Gatineau (Québec), J9J 3P8",Outaouais,Gatineau,-75.856125,45.45415,35075,490,2725,31860,
1163,2013,31460744,Pfizer Canada SRI,PF Soins de santé SRI,325410 : Fab. de produits pharmaceutiques & médicaments,"1025, boulevard Marcel-Laurin Montréal (Québec), H4R 1J6",Montréal,Montréal,-73.68871667,45.51116667,10280,0,0,10280,
1164,2013,54586102,Les Produits Forestiers D&G Ltée,Les Produits Forestiers D.G. ltée (usine de rabotage),321111 : Scieries sauf usines de bard. & bard. de fente,"313, rang Saint-Joseph Sainte-Aurélie (Québec), G0M 1M0",Chaudière-Appalaches,Sainte-Aurélie,-70.33048861,46.18529776,22612,20239,0,2373,
1168,2013,52011103,Ville de Québec,Incinérateur ville de Québec,562210 : Traitement & élimination des déchets,"1210, boulevard Montmorency Québec (Québec), G1J 3V9",Capitale-Nationale,Québec,-71.22045141,46.82864656,287310,189804,0,97506,
1172,2013,54584628,PF Résolu Canada inc.,PF Résolu - Division Senneterre scierie,321111 : Scieries sauf usines de bard. & bard. de fente,"40, chemin Saint-Pierre Senneterre (Québec), J0Y 2M0",Abitibi-Témiscamingue,Senneterre,-77.23157778,48.38545111,14408,12635,0,1773,
1174,2013,X0600847,Bitumar inc.,Bitumar inc.,324190 : Fab. d'autres produits du pétrole & du charbon,"3000, rue Broadway Montréal-Est  (Québec), H1B 5B4",Montréal,Montréal-Est,-73.51814722,45.63231944,11954,0,0,11954,
1178,2013,51615219,Papiers de Publication Kruger inc.,Kruger Trois-Rivières S.E.C.,322122 : Usines de papier journal,"3735, boulevard Gene-H.-Kruger Trois-Rivières (Québec), G9A 6B1",Mauricie,Trois-Rivières,-72.55666667,46.32611111,106198,94495,0,11703,
1182,2013,90121575,PF Résolu Canada inc.,Scierie Roberval,321111 : Scieries sauf usines de bard. & bard. de fente,"1181, boulevard Saint-Joseph Roberval (Québec), G8H 2M3",Saguenay--Lac-Saint-Jean,Roberval,-72.2245151,48.52787417,17441,16783,0,658,
1183,2013,90499740,Bombardier inc.,CENTRE DE FINITION BOMBARDIER INC.,336410 : Fab. de produits aérospatiaux & de leurs pièces,"200, chemin de la Côte-Vertu Dorval (Québec), H4S 2A3",Montréal,Dorval,-73.72262353,45.47876143,8408,0,0,8408,
1184,2013,90447186,Rayonier A.M. Canada Société en nom collectif,Scierie La Sarre,321111 : Scieries sauf usines de bard. & bard. de fente,"495, route 111 Ouest La Sarre (Québec), J9Z 2X1",Abitibi-Témiscamingue,La Sarre,-79.22916667,48.80416667,19328,17105,0,2223,
1187,2013,53107116,Kruger GCF inc.,"Arbec, bois d'oeuvre inc.",321111 : Scieries sauf usines de bard. & bard. de fente,"88, route 159 Saint-Roch-de-Mékinac (Québec), G0X 2E0",Mauricie,Saint-Roch-de-Mékinac,-72.76419463,46.79935752,11601,9534,0,2067,
1189,2013,90114273,Régie régionale de gestion des matières résiduelles de Portneuf,Régie régionale de gestion des matières résiduelles de Portneuf (LET Neuville),562210 : Traitement & élimination des déchets,"1310, chemin du Site Neuville (Québec), G0A 2R0",Capitale-Nationale,Neuville,-71.68405556,46.73138889,48303,525,5884,41894,
1193,2013,X2097943,Rio Tinto Alcan inc.,Aluminerie Arvida - Centre technologique AP60,331313 : Production primaire d'alumine & d'aluminium,"2685, boulevard du Saguenay Saguenay (Québec), G7S 0C9",Saguenay--Lac-Saint-Jean,Saguenay,-71.15885809,48.43169333,35612,0,0,35612,
1195,2013,54481023,Beaulieu Canada Ltd./Beaulieu Canada ltee,"Beaulieu Canada (445, Roxton)",314110 : Usines de tapis & de carpettes,"445, rue de Roxton Acton Vale (Québec), J0H 1A0",Montérégie,Acton Vale,-72.56964722,45.63870556,13552,0,0,13552,
1200,2013,X1200157,Municipalité régionale de comté de Lotbinière,LET de Saint-Flavien,562210 : Traitement & élimination des déchets,"1450, rang de la Pointe-du-Jour Saint-Flavien (Québec), G0S 2M0",Chaudière-Appalaches,Saint-Flavien,-71.55277365,46.56003344,24287,0,2798,21489,
1202,2013,X2017901,Ville de Québec,Lieu d'enfouissement technique de Saint-Joachim,562210 : Traitement & élimination des déchets,"50, route 138 Saint-Tite-des-Caps (Québec), G0A 4J0",Capitale-Nationale,Saint-Joachim,-70.83686944,47.10983333,12328,0,1425,10903,
1207,2013,X1300282,Uniboard Canada inc.,Uniboard Canada inc.,321999 : Fab. de tous les autres produits divers en bois,"5555, rue Ernest-Cormier Laval (Québec), H7C 2S9",Laval,Laval,-73.65388889,45.63083333,4257,3328,0,929,
1209,2013,X2103215,Bombardier inc.,Bombardier inc.,336410 : Fab. de produits aérospatiaux & de leurs pièces,"595, boulevard Stuart-Graham Nord Dorval (Québec), H4Y 1E2",Montréal,Dorval,-73.757025,45.45250556,469,0,0,469,
1210,2013,53998084,Rio Tinto Alcan inc.,Rio Tinto Alcan inc. (Usine Laterrière),331313 : Production primaire d'alumine & d'aluminium,"6301, boulevard Talbot Saguenay (Québec), G7N 1A2",Saguenay--Lac-Saint-Jean,Saguenay,-71.12789254,48.30150053,436708,0,0,436708,
1212,2013,55033559,Société en commandite Stadacona WB,Commandité Stadacona WB ltée (papetière),322122 : Usines de papier journal,"10, boulevard des Capucins Québec (Québec), G1J 0G9",Capitale-Nationale,Québec,-71.21505556,46.82418056,83448,69134,0,14314,
1213,2013,90383993,Uniboard Canada inc.,Uniboard Canada inc. - Division Val-d'Or,321216 : Usines de panneaux de particules & de fibres,"2700, boulevard Jean-Jacques-Cossette Val-d'Or (Québec), J9P 6Y5",Abitibi-Témiscamingue,Val-d'Or,-77.77976389,48.11555,62969,54718,0,8251,
1215,2013,53042156,Rio Tinto Alcan inc.,Installations portuaires - Alcan,"482112 : Transport ferrov. de march., courte distance","262, 1re Rue La Baie (Québec), G7B 3R1",Saguenay--Lac-Saint-Jean,Saguenay,-70.87387222,48.33420556,13427,0,0,13427,
1217,2013,52133105,Produits Kruger S.E.C.,"Produits Kruger s.e.c., usine de Sherbrooke",322121 : Usines de papier (sauf papier journal),"2888, rue College Sherbrooke (Québec), J1M 1T4",Estrie,Sherbrooke,-71.8545,45.3642,11251,0,0,11251,
1219,2013,55583157,Kruger Wayagamack Holding Inc.,Kruger Wayagamack S.E.C,322121 : Usines de papier (sauf papier journal),"1, chemin de l'île-de-la-Potherie Trois-Rivières (Québec), G9A 5E9",Mauricie,Trois-Rivières,-72.52317051,46.35893318,337464,284281,0,53183,
1220,2013,X2072330,Les Mines Opinaca ltée,Propriété Éléonore,212220 : Extraction de minerais d'or & d'argent,,Nord-du-Québec,Eeyou Istchee Baie-James,-76.07089603,52.70500014,34338,0,0,34338,
1223,2013,52235348,PF Résolu Canada inc.,Produits Forestier Résolu - Amos,322122 : Usines de papier journal,"801, rue des Papetiers Amos (Québec), J9T 3X5",Abitibi-Témiscamingue,Amos,-78.15886667,48.56683056,170012,161881,0,8131,
1226,2013,11892841,Société en commandite FF Soucy WB,Commandité FF Soucy WB ltée,322122 : Usines de papier journal,"191, rue Delage Rivière-du-Loup (Québec), G5R 6E2",Bas-Saint-Laurent,Rivière-du-Loup,-69.519652,47.818756,88898,85360,0,3538,
1229,2013,X2045951,Kildair Service ULC,Kildair Service ULC (Ind) (Parc à réservoirs C et D),412110 : Grossistes de produits pétroliers,"11905, rue Industrielle Sorel-Tracy (Québec), J3R 0E7",Montérégie,Sorel-Tracy,-73.15992228,45.99752884,11062,0,0,11062,
1236,2013,24228629,Unifix inc.,Unifix inc.,327390 : Fab. d'autres produits en béton,"35, rue Unifix Bromont (Québec), J2L 1N5",Estrie,Bromont,-72.72380512,45.30211524,693,0,0,693,
1241,2013,X2112068,Bombardier inc.,Bombardier inc. Percival Reid,336410 : Fab. de produits aérospatiaux & de leurs pièces,"1200, rue Percival-Reid Montréal (Québec), H4S 0A1",Montréal,Montréal,-73.728769,45.483692,336,0,0,336,
1257,2013,52269974,Maibec inc.,Maibec inc. (scierie),321111 : Scieries sauf usines de bard. & bard. de fente,"24, 6e Rang Saint-Pamphile (Québec), G0R 3X0",Chaudière-Appalaches,Saint-Pamphile,-69.77621835,46.96849984,40892,38321,0,2571,
1258,2013,X2110042,Régie de gestion des matières résiduelles du Lac-Saint-Jean,Lieu d'enfouissement technique de L'Ascension,562210 : Traitement & élimination des déchets,"5955, route Uniforêt L'Ascension-de-Notre-Seigneur (Québec), G0W 1Y0",Saguenay--Lac-Saint-Jean,L'Ascension-de-Notre-Seigneur,-71.57609318,48.76806152,20790,1,2377,18412,
1262,2013,54177746,Niobec inc.,Niobec inc.,212299 : Extract. tous les autres minerais métalliques,"3400, route du Columbium Saint-Honoré (Québec), G0V 1L0",Saguenay--Lac-Saint-Jean,Saint-Honoré,-71.159,48.53208333,12758,0,0,12758,
1263,2013,X2115280,"Lidya Énergie, Société en commandite",Lidya Énergie inc.,221119 : Autres activités de production d'électricité,"6985, chemin des Sources Lachute (Québec), J8H 2C5",Laurentides,Lachute,-74.24284543,45.60974735,83909,48363,35499,47,
1266,2013,90330655,"Produits forestiers Temrex, société en commandite",Groupe Lebel inc. (usine de Nouvelle),321111 : Scieries sauf usines de bard. & bard. de fente,"521, route 132 Ouest Nouvelle (Québec), G0C 2G0",Gaspésie--Îles-de-la-Madeleine,Nouvelle,-66.358057,48.150885,7746,6481,0,1265,
1286,2013,90332115,Ville de Sherbrooke,Lieu d'enfouissement sanitaire et compostage (Ville de Sherbrooke),562210 : Traitement & élimination des déchets,"735, rue des Pèlerins          Sherbrooke (Québec), J1L 2L4",Estrie,Sherbrooke,-71.892106,45.42017,59662,6467,10857,42338,
1287,2013,90358029,Eacom Timber Corporation,Eacom Timber Corporation (Matagami),321111 : Scieries sauf usines de bard. & bard. de fente,"2000, Parc industriel Matagami (Québec), J0Y 2A0",Nord-du-Québec,Matagami,-77.69952778,49.72808333,14694,13440,0,1254,
1294,2013,13106273,G.D.S. Valoribois inc.,G.D.S. Valoribois inc.,321999 : Fab. de tous les autres produits divers en bois,"50, rang Didier Lac-au-Saumon (Québec), G0J 1M0",Bas-Saint-Laurent,Lac-au-Saumon,-67.373478,48.435546,15941,15479,0,462,
1295,2013,51624534,PF Résolu Canada inc.,PF Résolu Canada inc. (Saint-Thomas-Didyme),321111 : Scieries sauf usines de bard. & bard. de fente,"300, avenue du Moulin Saint-Thomas-Didyme (Québec), G0W 1P0",Saguenay--Lac-Saint-Jean,Saint-Thomas-Didyme,-72.66362778,48.90924444,13882,11507,0,2375,
1296,2013,53210936,Lafarge Canada inc.,Lafarge Canada inc. - Groupe Ciment,327310 : Fab. de ciment,"1, chemin Lafarge Saint-Constant (Québec), J5A 2E9",Montérégie,Saint-Constant,-73.52415556,45.34014444,531663,8708,0,522955,
1297,2013,14752356,Bois d'oeuvre Cédrico inc.,Bois d'oeuvre Cédrico inc. - Usine principale,321111 : Scieries sauf usines de bard. & bard. de fente,"39, rue Saint-Jean-Baptiste Price (Québec), G0J 1Z0",Bas-Saint-Laurent,Price,-68.12815416,48.60534312,20062,19429,0,633,
1298,2013,90287368,G.D.S. Valoribois inc.,G.D.S. Valoribois inc.,321111 : Scieries sauf usines de bard. & bard. de fente,"80, rue du Parc-Industriel Matane (Québec), G4W 0K1",Bas-Saint-Laurent,Matane,-67.55764227,48.84081318,17497,16726,0,771,
1301,2013,55379713,ADM Agri-Industries Company,ADM Agri-Industries Company - Candiac,311990 : Fab. de tous les autres aliments,"155, avenue d'Iberia Candiac (Québec), J5R 3H1",Montérégie,Candiac,-73.51341667,45.40072222,30668,3629,6900,20139,
1309,2013,55133557,Superior Plus LP,ERCO site de Buckingham,325189 : Fab. tous les autres prod. chim. inorg. de base,"101, chemin Donaldson Gatineau (Québec), J8L 3X3",Outaouais,Gatineau,-75.42444444,45.59416667,1940,0,0,1940,
1311,2013,90294307,PF Résolu Canada inc.,Produits forestiers Résolu (Dolbeau),322122 : Usines de papier journal,"1, 4e Avenue Dolbeau-Mistassini (Québec), G8L 2R4",Saguenay--Lac-Saint-Jean,Dolbeau-Mistassini,-72.21745584,48.88000748,431498,410981,0,20517,
1331,2013,90186107,8439117 Canada inc.,RSI Environnement,562910 : Services d'assainissement,"80, rue des Mélèzes Saint-Ambroise (Québec), G7P 2N4",Saguenay--Lac-Saint-Jean,Saint-Ambroise,-71.292775,48.54201944,2949,0,0,2949,
1347,2013,11143492,Molson Canada 2005,Brasserie Molson de Montréal,312120 : Brasseries,"1555, rue Notre-Dame Est Montréal (Québec), H2L 2R5",Montréal,Montréal,-73.5482945,45.51877749,22044,0,369,21675,
1350,2013,90350919,Pepsico Canada ULC,Frito Lay Canada,311919 : Fab. d'autres aliments à grignoter,"8450, boulevard Guillaume-Couture Lévis (Québec), G6V 7L7",Chaudière-Appalaches,Lévis,-71.13471667,46.81858611,10334,0,0,10334,
1351,2013,90319468,Produits forestiers Arbec inc.,Produits forestiers Arbec inc.  (Scierie de Péribonka),321111 : Scieries sauf usines de bard. & bard. de fente,"5005, route Uniforêt L'Ascension-de-Notre-Seigneur (Québec), G0W 1Y0",Saguenay--Lac-Saint-Jean,L'Ascension-de-Notre-Seigneur,-71.61978668,48.7542639,32353,27888,0,4465,
1358,2013,X0700081,PF Résolu Canada inc.,PF Résolu Canada inc. (anc.: AbiBow Canada inc.),321111 : Scieries sauf usines de bard. & bard. de fente,"200, chemin de Montcerf Maniwaki (Québec), J9E 1A1",Outaouais,Maniwaki,-75.99869444,46.39011111,6922,5262,0,1660,
1362,2013,26442293,Lactalis Canada inc.,Lactalis Victoriaville,"311515 : Fab. beurre, fromage, prod. laitier sec & conc.","75, boulevard Pierre-Roux Est Victoriaville (Québec), G6T 1S8",Centre-du-Québec,Victoriaville,-71.97148819,46.06666607,12846,0,0,12846,
1365,2013,90255340,Municipalité régionale de comté de La Nouvelle-Beauce,Écocentre et LET de Saint-Édouard-de-Frampton,562210 : Traitement & élimination des déchets,"SAINT-ÉDOUARD-DE-FRAMPTON 10, route Boulet Lots 125, 127 et 129, G6E 2K9",Chaudière-Appalaches,Frampton,-70.76090307,46.37570572,21424,0,2461,18963,
1366,2013,55583173,PF Résolu Canada inc.,Scierie St-Fulgence,321111 : Scieries sauf usines de bard. & bard. de fente,"1900, route de Tadoussac Saint-Fulgence (Québec), G0V 1S0",Saguenay--Lac-Saint-Jean,Saint-Fulgence,-70.71196403,48.44156675,14680,13223,0,1457,
1368,2013,24885642,Macco Organiques inc.,Macco Organiques inc.,325410 : Fab. de produits pharmaceutiques & médicaments,"100, rue McArthur suite 112 Salaberry-de-Valleyfield (Québec), J6S 4M5",Montérégie,Salaberry-de-Valleyfield,-74.104913,45.263547,9447,0,0,9447,
1370,2013,54661806,Produits pour toitures Fransyl ltée,Produits pour toitures Fransyl Ltée,326140 : Fab. de produits en mousse de polystyrène,"671, rue Léveillé Terrebonne (Québec), J6W 1Z9",Lanaudière,Terrebonne,-73.62574167,45.700575,2695,0,0,2695,
1371,2013,12481586,La Compagnie Commonwealth Plywood ltée,La Compagnie Commonwealth Plywood ltée (Sainte-Thérèse),321211 : Usines de placages & contreplaqués de feuillus,"15, boulevard du Curé-Labelle Sainte-Thérèse (Québec), J7E 2X1",Laurentides,Sainte-Thérèse,-73.82742778,45.63822778,17438,17096,0,342,
